CID	Pack_Number	Part_Number	AppricableCID	Keyword	CVN	Country Spec	Vehicle	Year	Engine	Aspiration	Transmission	Specification
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Outback	2020	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Outback	2020	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Outback	2020	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Legacy	2021	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Legacy	2021	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Legacy	2021	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Legacy	2021	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Legacy	2021	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Legacy	2021	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Outback	2021	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Outback	2021	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Outback	2021	2.4L	Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Outback	2021	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00B	---	019B84E3	---	N.AMERICA	Outback	2021	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00C	---	019B84E3	---	N.AMERICA	Outback	2021	2.5L	non-Turbo	CVT	FED  CAL
---	27596AN00D	27596AN00A	---	019B84E3	---	N.AMERICA	Legacy	2022	2.4L	Turbo	CVT	FED  CAL
