CID	Pack_Number	Part_Number	AppricableCID	Keyword	CVN	Country Spec	Vehicle	Year	Engine	Aspiration	Transmission	Specification
EZ1GB20J	22611BC090	22611BC090	WQD4009	BDFC0F87	1B48 96C4	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	AT	CAL
EZ1GB20I	22611BC080	22611BC080	WQD4008	B613AA55	430D 8A33	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	MT	CAL
EZ1GD00B	22611BC05A	22611BC05A	WQD4005	DE89A052	E702 8B1A	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	AT	CAL
EZ1GD00A	22611BC04A	22611BC04A	WQD4004	041B7585	322B 1C2A	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	MT	CAL
EZ1GD00F	22611BC070	22611BC070	WQD4007	E04806AF	28B4 69B0	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	AT	CAL
EZ1GD00E	22611BC060	22611BC060	WQD4006	61FD36B3	6074 A1FF	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	MT	CAL
DU2IHL0C	UD-S205A	22611AD84C	DUG1L008	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2000	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AD84D	DUH1LA0A	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2000	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AF61B	DUG1K008	60F69F37	1895 5E62	N.AMERICA	Outback	2000	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AF61C	DUH1KA0A	60F69F37	1895 5E62	N.AMERICA	Outback	2000	2.5L	non-Turbo	AT	FED  CAL
CID# is not available.	UD-S204	22611AD86C	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86D	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86E	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86F	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86C	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86D	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86E	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86F	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60B	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60C	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60D	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60E	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60B	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60C	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60D	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60E	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2001	2.5L	non-Turbo	MT	FED  CAL
DU2IHL0C	UD-S205A	22611AG41B	DU2FJLA2	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AG73A	DU2ISL08	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AG73B	DU2IBL05	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AG73C	DU2ICL08	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AG73D	DU2IEL09	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AG73E	DU2IGL0A	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AG42B	DU2FJKA2	60F69F37	1895 5E62	N.AMERICA	Outback	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AG74A	DU2ISK08	60F69F37	1895 5E62	N.AMERICA	Outback	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AG74B	DU2IBK05	60F69F37	1895 5E62	N.AMERICA	Outback	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AG74C	DU2ICK08	60F69F37	1895 5E62	N.AMERICA	Outback	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AG74D	DU2IEK09	60F69F37	1895 5E62	N.AMERICA	Outback	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AG74E	DU2IGK0A	60F69F37	1895 5E62	N.AMERICA	Outback	2001	2.5L	non-Turbo	AT	FED  CAL
D6JR000B	UD-S202	22611AE98D	D6JM000B	BD23096C	B2CF FA8C	N.AMERICA	Outback	2001	3.0L	non-Turbo	AT	FED  CAL
D6JR000B	UD-S202	22611AE98E	D6JM102B	BD23096C	B2CF FA8C	N.AMERICA	Outback	2001	3.0L	non-Turbo	AT	FED  CAL
D6JR000B	UD-S202	22611AE98F	D6JP000B	BD23096C	B2CF FA8C	N.AMERICA	Outback	2001	3.0L	non-Turbo	AT	FED  CAL
DU450L05	UD-S205B	22611AG51A	DU413L17	941EFDAB	6140 5819	N.AMERICA	Legacy	2002	2.5L	non-Turbo	MT AT	FED  CAL
DU450L05	UD-S205B	22611AG51B	DU420L01	941EFDAB	6140 5819	N.AMERICA	Legacy	2002	2.5L	non-Turbo	MT AT	FED  CAL
DU450L05	UD-S205B	22611AG51C	DU430L02	941EFDAB	6140 5819	N.AMERICA	Legacy	2002	2.5L	non-Turbo	MT AT	FED  CAL
DU450L05	UD-S205B	22611AG51D	DU440L03	941EFDAB	6140 5819	N.AMERICA	Legacy	2002	2.5L	non-Turbo	MT AT	FED  CAL
DU450K05	UD-S205B	22611AG53A	DU413K17	941EFDAB	EFFF 5819	N.AMERICA	Outback	2002	2.5L	non-Turbo	MT AT	FED  CAL
DU450K05	UD-S205B	22611AG53B	DU420K01	941EFDAB	EFFF 5819	N.AMERICA	Outback	2002	2.5L	non-Turbo	MT AT	FED  CAL
DU450K05	UD-S205B	22611AG53C	DU430K02	941EFDAB	EFFF 5819	N.AMERICA	Outback	2002	2.5L	non-Turbo	MT AT	FED  CAL
DU450K05	UD-S205B	22611AG53D	DU440K03	941EFDAB	EFFF 5819	N.AMERICA	Outback	2002	2.5L	non-Turbo	MT AT	FED  CAL
D6HH000B	UD-S202	22611AG79A	D6HE000B	BD23096C	34D5 F2C1	N.AMERICA	Outback	2002	3.0L	non-Turbo	AT	FED  CAL
D6HH000B	UD-S202	22611AG79B	D6HE100B	BD23096C	34D5 F2C1	N.AMERICA	Outback	2002	3.0L	non-Turbo	AT	FED  CAL
D6YQ2GTC	UD-S205C	22611AH04B	D6WQ2GT8	CD1077C4	E955 F8EF	N.AMERICA	Legacy	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2GTC	UD-S205C	22611AH04C	D6WQ2GT9	CD1077C4	E955 F8EF	N.AMERICA	Legacy	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2GTC	UD-S205C	22611AH04D	D6YQ2GTA	CD1077C4	E955 F8EF	N.AMERICA	Legacy	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2GTC	UD-S205C	22611AH04E	D6YQ2GTB	CD1077C4	E955 F8EF	N.AMERICA	Legacy	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2OBC	UD-S205C	22611AH05B	D6WQ2OB8	CD1077C4	F1DE F8EF	N.AMERICA	Outback	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2OBC	UD-S205C	22611AH05C	D6WQ2OB9	CD1077C4	F1DE F8EF	N.AMERICA	Outback	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2OBC	UD-S205C	22611AH05D	D6YQ2OBA	CD1077C4	F1DE F8EF	N.AMERICA	Outback	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2OBC	UD-S205C	22611AH05E	D6YQ2OBB	CD1077C4	F1DE F8EF	N.AMERICA	Outback	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2OBC	UD-S205C	22611AH05B	D6WQ2OB8	CD1077C4	F1DE F8EF	N.AMERICA	Baja	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2OBC	UD-S205C	22611AH05C	D6WQ2OB9	CD1077C4	F1DE F8EF	N.AMERICA	Baja	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2OBC	UD-S205C	22611AH05D	D6YQ2OBA	CD1077C4	F1DE F8EF	N.AMERICA	Baja	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6YQ2OBC	UD-S205C	22611AH05E	D6YQ2OBB	CD1077C4	F1DE F8EF	N.AMERICA	Baja	2003	2.5L	non-Turbo	MT AT	FED  CAL
D6QK000B	UD-S202	22611AH06A	D6QE400B	BD23096C	D87E 8FEA	N.AMERICA	Outback	2003	3.0L	non-Turbo	AT	FED  CAL
D6QK000B	UD-S202	22611AH06B	D6QH000B	BD23096C	D87E 8FEA	N.AMERICA	Outback	2003	3.0L	non-Turbo	AT	FED  CAL
D6QK000B	UD-S202	22611AH06B	D6QJ000B	BD23096C	D87E 8FEA	N.AMERICA	Outback	2003	3.0L	non-Turbo	AT	FED  CAL
D93P2GT7	22611AJ19D	22611AJ19A	D88P2GT2	53057052	85D41687	N.AMERICA	Legacy	2004	2.5L	non-Turbo	MT AT	FED
D93P2GT7	22611AJ19D	22611AJ19B	D91P2GT2	53057052	85D41687	N.AMERICA	Legacy	2004	2.5L	non-Turbo	MT AT	FED
D93P2GT7	22611AJ19D	22611AJ19C	D91P2GT3	53057052	85D41687	N.AMERICA	Legacy	2004	2.5L	non-Turbo	MT AT	FED
D93P2OB7	22611AJ20D	22611AJ20A	D90P2OB1	58132F9D	4FD91687	N.AMERICA	Outback	2004	2.5L	non-Turbo	MT AT	FED
D93P2OB7	22611AJ20D	22611AJ20B	D91P2OB2	58132F9D	4FD91687	N.AMERICA	Outback	2004	2.5L	non-Turbo	MT AT	FED
D93P2OB7	22611AJ20D	22611AJ20C	D91P2OB3	58132F9D	4FD91687	N.AMERICA	Outback	2004	2.5L	non-Turbo	MT AT	FED
D93P2OB7	22611AJ20D	22611AJ20A	D90P2OB1	58132F9D	4FD91687	N.AMERICA	Baja	2004	2.5L	non-Turbo	MT AT	FED
D93P2OB7	22611AJ20D	22611AJ20B	D91P2OB2	58132F9D	4FD91687	N.AMERICA	Baja	2004	2.5L	non-Turbo	MT AT	FED
D93P2OB7	22611AJ20D	22611AJ20C	D91P2OB3	58132F9D	4FD91687	N.AMERICA	Baja	2004	2.5L	non-Turbo	MT AT	FED
E6PF103A	22611AJ10C	22611AJ10B	E6PE013A	F5C79BDC	233BF1F7	N.AMERICA	Legacy	2004	2.5L	non-Turbo	MT	CAL
E6PF103A	22611AJ10C	22611AJ10B	E6PE013A	F5C79BDC	233BF1F7	N.AMERICA	Outback	2004	2.5L	non-Turbo	MT	CAL
E6PF101A	22611AG83D	22611AG83C	E6PE011A	0834B667	4AB9F6B7	N.AMERICA	Legacy	2004	2.5L	non-Turbo	AT	CAL
E6PF102A	22611AG84D	22611AG84C	E6PE012A	1B8D9619	4E6DF910	N.AMERICA	Outback	2004	2.5L	non-Turbo	AT	CAL
D6PC000B	UD-S202	22611AJ09A	D6PB020B	BD23096C	61E0 F0CC	N.AMERICA	Outback	2004	3.0L	non-Turbo	AT	FED  CAL
A2WC500L	UD-S207	22611AJ960	A2WC400L	59942137	82266863	N.AMERICA	Baja	2005	2.5L	Turbo	MT	FED  CAL
A2WC500K	UD-S207	22611AJ970	A2WC400K	59942137	54F61265	N.AMERICA	Baja	2005	2.5L	Turbo	AT	FED  CAL
D04M2U07	22611AJ99E	22611AJ99A	DB1N2OB1	9B62ED37	6AB93D1D	N.AMERICA	Baja	2005	2.5L	non-Turbo	MT AT	FED  CAL
D04M2U07	22611AJ99E	22611AJ99B	DC0N2OB2	9B62ED37	6AB93D1D	N.AMERICA	Baja	2005	2.5L	non-Turbo	MT AT	FED  CAL
D04M2U07	22611AJ99E	22611AJ99C	DC0N2OB3	9B62ED37	6AB93D1D	N.AMERICA	Baja	2005	2.5L	non-Turbo	MT AT	FED  CAL
D04M2U07	22611AJ99E	22611AJ99D	DC0N2OB4	9B62ED37	6AB93D1D	N.AMERICA	Baja	2005	2.5L	non-Turbo	MT AT	FED  CAL
E2ZJ173B	UD-S222A	22611AH91A	E2ZJ103B	8EE59BC5	A1B3FD81	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	FED
E2ZJ173B	UD-S222A	22611AH91B	E2ZJ113B	8EE59BC5	A1B3FD81	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	FED
E2ZJ173B	UD-S222A	22611AH91C	E2ZJ123B	8EE59BC5	A1B3FD81	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	FED
E2ZJ173B	UD-S222A	22611AH91D	E2ZJ133B	8EE59BC5	A1B3FD81	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	FED
E2ZJ173B	UD-S222A	22611AH91E	E2ZJ143B	8EE59BC5	A1B3FD81	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	FED
E2ZJ173B	UD-S222A	22611AH91A	E2ZJ103B	8EE59BC5	A1B3FD81	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	FED
E2ZJ173B	UD-S222A	22611AH91B	E2ZJ113B	8EE59BC5	A1B3FD81	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	FED
E2ZJ173B	UD-S222A	22611AH91C	E2ZJ123B	8EE59BC5	A1B3FD81	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	FED
E2ZJ173B	UD-S222A	22611AH91D	E2ZJ133B	8EE59BC5	A1B3FD81	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	FED
E2ZJ173B	UD-S222A	22611AH91E	E2ZJ143B	8EE59BC5	A1B3FD81	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	FED
E2ZK003A	22611AH92G	22611AH92A	E2ZJ103A	FFD8EC7A	8E71945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92B	E2ZJ113A	FFD8EC7A	8E71945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92C	E2ZJ123A	FFD8EC7A	8E71945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92D	E2ZJ133A	FFD8EC7A	8E71945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92E	E2ZJ143A	FFD8EC7A	8E71945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92F	E2ZJ173A	FFD8EC7A	8E71945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92A	E2ZJ103A	FFD8EC7A	8E71945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92B	E2ZJ113A	FFD8EC7A	8E71945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92C	E2ZJ123A	FFD8EC7A	8E71945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92D	E2ZJ133A	FFD8EC7A	8E71945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92E	E2ZJ143A	FFD8EC7A	8E71945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	CAL
E2ZK003A	22611AH92G	22611AH92F	E2ZJ173A	FFD8EC7A	8E71945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	MT	CAL
E2ZJ142B	UD-S218A	22611AH93A	E2ZJ102B	FE4877E2	08894A36	N.AMERICA	Outback	2005	2.5L	non-Turbo	AT	FED
E2ZJ142B	UD-S218A	22611AH93B	E2ZJ112B	FE4877E2	08894A36	N.AMERICA	Outback	2005	2.5L	non-Turbo	AT	FED
E2ZJ142B	UD-S218A	22611AH93C	E2ZJ122B	FE4877E2	08894A36	N.AMERICA	Outback	2005	2.5L	non-Turbo	AT	FED
E2ZJ142B	UD-S218A	22611AH93D	E2ZJ132B	FE4877E2	08894A36	N.AMERICA	Outback	2005	2.5L	non-Turbo	AT	FED
E2ZJ141B	UD-S218A	22611AJ48A	E2ZJ101B	FE4877E2	87A9D33A	N.AMERICA	Legacy	2005	2.5L	non-Turbo	AT	FED
E2ZJ141B	UD-S218A	22611AJ48B	E2ZJ111B	FE4877E2	87A9D33A	N.AMERICA	Legacy	2005	2.5L	non-Turbo	AT	FED
E2ZJ141B	UD-S218A	22611AJ48C	E2ZJ121B	FE4877E2	87A9D33A	N.AMERICA	Legacy	2005	2.5L	non-Turbo	AT	FED
E2ZJ141B	UD-S218A	22611AJ48D	E2ZJ131B	FE4877E2	87A9D33A	N.AMERICA	Legacy	2005	2.5L	non-Turbo	AT	FED
E2ZK002A	22611AH94F	22611AH94A	E2ZJ102A	1E2BB364	2369945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	AT	CAL
E2ZK002A	22611AH94F	22611AH94B	E2ZJ112A	1E2BB364	2369945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	AT	CAL
E2ZK002A	22611AH94F	22611AH94C	E2ZJ122A	1E2BB364	2369945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	AT	CAL
E2ZK002A	22611AH94F	22611AH94D	E2ZJ132A	1E2BB364	2369945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	AT	CAL
E2ZK002A	22611AH94F	22611AH94E	E2ZJ142A	1E2BB364	2369945F	N.AMERICA	Outback	2005	2.5L	non-Turbo	AT	CAL
E2ZK001A	22611AJ49F	22611AJ49A	E2ZJ101A	65311692	07E0945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	AT	CAL
E2ZK001A	22611AJ49F	22611AJ49B	E2ZJ111A	65311692	07E0945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	AT	CAL
E2ZK001A	22611AJ49F	22611AJ49C	E2ZJ121A	65311692	07E0945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	AT	CAL
E2ZK001A	22611AJ49F	22611AJ49D	E2ZJ131A	65311692	07E0945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	AT	CAL
E2ZK001A	22611AJ49F	22611AJ49E	E2ZJ141A	65311692	07E0945F	N.AMERICA	Legacy	2005	2.5L	non-Turbo	AT	CAL
A2WC522N	UD-S222B	22611AJ17A	A2WC500N	5E196BF3	93C21D8C	N.AMERICA	Legacy	2005	2.5L	Turbo	MT	FED  CAL
A2WC522N	UD-S222B	22611AJ17B	A2WC510N	5E196BF3	93C21D8C	N.AMERICA	Legacy	2005	2.5L	Turbo	MT	FED  CAL
A2WC522N	UD-S222B	22611AJ17C	A2WC511N	5E196BF3	93C21D8C	N.AMERICA	Legacy	2005	2.5L	Turbo	MT	FED  CAL
A2WC522N	UD-S222B	22611AJ17D	A2WC521N	5E196BF3	93C21D8C	N.AMERICA	Legacy	2005	2.5L	Turbo	MT	FED  CAL
A2WC521C	UD-S213A	22611AJ18A	A2WC500C	0C08130C	0A094312	N.AMERICA	Legacy	2005	2.5L	Turbo	AT	FED  CAL
A2WC521C	UD-S213A	22611AJ18B	A2WC510C	0C08130C	0A094312	N.AMERICA	Legacy	2005	2.5L	Turbo	AT	FED  CAL
A2WC521C	UD-S213A	22611AJ18C	A2WC511C	0C08130C	0A094312	N.AMERICA	Legacy	2005	2.5L	Turbo	AT	FED  CAL
A2WC522S	UD-S222B	22611AJ65A	A2WC500S	5E196BF3	21DE1D8C	N.AMERICA	Outback	2005	2.5L	Turbo	MT	FED  CAL
A2WC522S	UD-S222B	22611AJ65B	A2WC510S	5E196BF3	21DE1D8C	N.AMERICA	Outback	2005	2.5L	Turbo	MT	FED  CAL
A2WC522S	UD-S222B	22611AJ65C	A2WC511S	5E196BF3	21DE1D8C	N.AMERICA	Outback	2005	2.5L	Turbo	MT	FED  CAL
A2WC522S	UD-S222B	22611AJ65D	A2WC521S	5E196BF3	21DE1D8C	N.AMERICA	Outback	2005	2.5L	Turbo	MT	FED  CAL
A2WC521R	UD-S213B	22611AJ66A	A2WC500R	0C6CD558	056B4312	N.AMERICA	Outback	2005	2.5L	Turbo	AT	FED  CAL
A2WC521R	UD-S213B	22611AJ66B	A2WC510R	0C6CD558	056B4312	N.AMERICA	Outback	2005	2.5L	Turbo	AT	FED  CAL
A2WC521R	UD-S213B	22611AJ66C	A2WC511R	0C6CD558	056B4312	N.AMERICA	Outback	2005	2.5L	Turbo	AT	FED  CAL
D04M2U07	22611AL54C	22611AL54A	D01M2U01	8F7487C7	6AB93D1D	N.AMERICA	Baja	2006	2.5L	non-Turbo	MT AT	FED  CAL
D04M2U07	22611AL54C	22611AL54B	D02M2U02	8F7487C7	6AB93D1D	N.AMERICA	Baja	2006	2.5L	non-Turbo	MT AT	FED  CAL
E2VL002B	22611AK41D	22611AK41A	E2VG212B	44EAE15A	4AA29F2C	N.AMERICA	Legacy	2006	2.5L	non-Turbo	MT	FED
E2VL002B	22611AK41D	22611AK41B	E2VG222B	44EAE15A	4AA29F2C	N.AMERICA	Legacy	2006	2.5L	non-Turbo	MT	FED
E2VL002B	22611AK41D	22611AK41C	E2VG302B	44EAE15A	4AA29F2C	N.AMERICA	Legacy	2006	2.5L	non-Turbo	MT	FED
E2VL002B	22611AK41D	22611AK41A	E2VG212B	44EAE15A	4AA29F2C	N.AMERICA	Outback	2006	2.5L	non-Turbo	MT	FED
E2VL002B	22611AK41D	22611AK41B	E2VG222B	44EAE15A	4AA29F2C	N.AMERICA	Outback	2006	2.5L	non-Turbo	MT	FED
E2VL002B	22611AK41D	22611AK41C	E2VG302B	44EAE15A	4AA29F2C	N.AMERICA	Outback	2006	2.5L	non-Turbo	MT	FED
E2VL001B	22611AK42D	22611AK42A	E2VG211B	5A5D722E	6E23BFE0	N.AMERICA	Legacy	2006	2.5L	non-Turbo	AT	FED
E2VL001B	22611AK42D	22611AK42B	E2VG221B	5A5D722E	6E23BFE0	N.AMERICA	Legacy	2006	2.5L	non-Turbo	AT	FED
E2VL001B	22611AK42D	22611AK42C	E2VG231B	5A5D722E	6E23BFE0	N.AMERICA	Legacy	2006	2.5L	non-Turbo	AT	FED
E2VL001B	22611AK42D	22611AK42A	E2VG211B	5A5D722E	6E23BFE0	N.AMERICA	Outback	2006	2.5L	non-Turbo	AT	FED
E2VL001B	22611AK42D	22611AK42B	E2VG221B	5A5D722E	6E23BFE0	N.AMERICA	Outback	2006	2.5L	non-Turbo	AT	FED
E2VL001B	22611AK42D	22611AK42C	E2VG231B	5A5D722E	6E23BFE0	N.AMERICA	Outback	2006	2.5L	non-Turbo	AT	FED
E2VL002A	22611AK43G	22611AK43A	E2VI002A	3FE1DA40	578EF53F	N.AMERICA	Legacy	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43B	E2VJ002A	3FE1DA40	578EF53F	N.AMERICA	Legacy	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43C	E2VJ012A	3FE1DA40	578EF53F	N.AMERICA	Legacy	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43D	E2VK002A	3FE1DA40	578EF53F	N.AMERICA	Legacy	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43E	E2VK102A	3FE1DA40	578EF53F	N.AMERICA	Legacy	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43F	E2VK112A	3FE1DA40	578EF53F	N.AMERICA	Legacy	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43A	E2VI002A	3FE1DA40	578EF53F	N.AMERICA	Outback	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43B	E2VJ002A	3FE1DA40	578EF53F	N.AMERICA	Outback	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43C	E2VJ012A	3FE1DA40	578EF53F	N.AMERICA	Outback	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43D	E2VK002A	3FE1DA40	578EF53F	N.AMERICA	Outback	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43E	E2VK102A	3FE1DA40	578EF53F	N.AMERICA	Outback	2006	2.5L	non-Turbo	MT	CAL
E2VL002A	22611AK43G	22611AK43F	E2VK112A	3FE1DA40	578EF53F	N.AMERICA	Outback	2006	2.5L	non-Turbo	MT	CAL
E2VL001A	22611AK44E	22611AK44A	E2VJ001A	771C786A	1CF1EDAF	N.AMERICA	Legacy	2006	2.5L	non-Turbo	AT	CAL
E2VL001A	22611AK44E	22611AK44B	E2VJ001A	771C786A	1CF1EDAF	N.AMERICA	Legacy	2006	2.5L	non-Turbo	AT	CAL
E2VL001A	22611AK44E	22611AK44C	E2VJ011A	771C786A	1CF1EDAF	N.AMERICA	Legacy	2006	2.5L	non-Turbo	AT	CAL
E2VL001A	22611AK44E	22611AK44D	E2VJ021A	771C786A	1CF1EDAF	N.AMERICA	Legacy	2006	2.5L	non-Turbo	AT	CAL
E2VL001A	22611AK44E	22611AK44A	E2VJ001A	771C786A	1CF1EDAF	N.AMERICA	Outback	2006	2.5L	non-Turbo	AT	CAL
E2VL001A	22611AK44E	22611AK44B	E2VJ001A	771C786A	1CF1EDAF	N.AMERICA	Outback	2006	2.5L	non-Turbo	AT	CAL
E2VL001A	22611AK44E	22611AK44C	E2VJ011A	771C786A	1CF1EDAF	N.AMERICA	Outback	2006	2.5L	non-Turbo	AT	CAL
E2VL001A	22611AK44E	22611AK44D	E2VJ021A	771C786A	1CF1EDAF	N.AMERICA	Outback	2006	2.5L	non-Turbo	AT	CAL
